grower_id,state,district,tehsil,language,device_type,grower_age,gender,grower_crop_calendar,product_scan,product_name,product_scan_datetime,grower_farm_size,offline_campaign_attended,campaign_attendance_date
GRW_00001,Rajasthan,Bharatpur,Bharatpur_T023,Hindi,smartphone,67,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,3.54,false,
GRW_00002,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T023,Hindi,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,1.34,false,
GRW_00003,Punjab,Patiala,Patiala_T104,Punjabi,smartphone,52,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,0.55,true,2026-03-29
GRW_00004,Rajasthan,Jaipur,Jaipur_T007,Hindi,smartphone,65,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,0.79,true,2026-01-31
GRW_00005,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T124,Hindi,smartphone,26,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,1.33,false,
GRW_00006,Maharashtra,Amravati,Amravati_T044,Marathi,unknown,43,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,1.92,true,2026-02-19
GRW_00007,Haryana,Sirsa,Sirsa_T082,Hindi,keypad,72,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",false,,,0.61,false,
GRW_00008,Gujarat,Ahmedabad,Ahmedabad_T128,Gujarati,smartphone,48,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,,true,2025-12-23
GRW_00009,Uttar Pradesh,Meerut,Meerut_T018,Hindi,smartphone,28,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,,true,2025-10-09
GRW_00010,Rajasthan,Bharatpur,Bharatpur_T051,Hindi,smartphone,29,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""mustard"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-10""}, ""harvest"": {""start"": ""2026-02-15"", ""end"": ""2026-03-20""}, ""stages"": [{""stage"": ""flowering"", ""approx"": ""2026-01-20""}]}",false,,,2.41,true,2026-02-10
GRW_00011,Madhya Pradesh,Ujjain,Ujjain_T091,Hindi,smartphone,35,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",false,,,1.29,false,
GRW_00012,Madhya Pradesh,Sehore,Sehore_T068,Hindi,keypad,26,male,,false,,,1.92,true,2025-12-09
GRW_00013,Karnataka,Kalaburagi,Kalaburagi_T016,Kannada,smartphone,40,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,1.58,true,2026-03-05
GRW_00014,Uttar Pradesh,Agra,Agra_T108,Hindi,unknown,39,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""wheat"", ""sowing"": {""start"": ""2025-11-01"", ""end"": ""2025-11-25""}, ""harvest"": {""start"": ""2026-03-20"", ""end"": ""2026-04-15""}, ""stages"": [{""stage"": ""tillering"", ""approx"": ""2026-01-15""}, {""stage"": ""flowering"", ""approx"": ""2026-02-20""}]}",false,,,2.07,true,2026-01-29
GRW_00015,Maharashtra,Akola,Akola_T021,Marathi,keypad,63,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""safflower"", ""sowing"": {""start"": ""2025-10-15"", ""end"": ""2025-11-05""}, ""harvest"": {""start"": ""2026-02-20"", ""end"": ""2026-03-25""}, ""stages"": []}",false,,,1.12,true,2025-11-19
GRW_00016,Karnataka,Kalaburagi,Kalaburagi_T023,Kannada,smartphone,71,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",false,,,1.58,true,2025-11-30
GRW_00017,Haryana,Sirsa,Sirsa_T002,Hindi,smartphone,67,female,"{""season"": ""Rabi_2025-26"", ""crop"": ""chickpea"", ""sowing"": {""start"": ""2025-10-20"", ""end"": ""2025-11-15""}, ""harvest"": {""start"": ""2026-03-01"", ""end"": ""2026-04-05""}, ""stages"": [{""stage"": ""pod_formation"", ""approx"": ""2026-02-10""}]}",false,,,1.5,true,2026-02-07
GRW_00018,Bihar,Patna,Patna_T087,Hindi,smartphone,49,male,"{""season"": ""Rabi_2025-26"", ""crop"": ""lentil"", ""sowing"": {""start"": ""2025-10-25"", ""end"": ""2025-11-20""}, ""harvest"": {""start"": ""2026-03-15"", ""end"": ""2026-04-20""}, ""stages"": []}",true,Cruiser 350 FS,2026-03-31T09:20:30,3.66,true,2026-03-29
