rep_id,territory_id,territory_name,state,district,tehsil_list
REP_0001,TER_0001,patna_north_001,Bihar,Patna,"[""Patna_T001"", ""Patna_T002"", ""Patna_T003"", ""Patna_T004"", ""Patna_T005"", ""Patna_T006"", ""Patna_T007"", ""Patna_T008"", ""Patna_T009"", ""Patna_T010"", ""Patna_T011"", ""Patna_T012""]"
REP_0002,TER_0002,hisar_south_002,Haryana,Hisar,"[""Hisar_T001"", ""Hisar_T002"", ""Hisar_T003"", ""Hisar_T004"", ""Hisar_T005"", ""Hisar_T006"", ""Hisar_T007"", ""Hisar_T008"", ""Hisar_T009"", ""Hisar_T010"", ""Hisar_T011""]"
REP_0003,TER_0003,varanasi_east_003,Uttar Pradesh,Varanasi,"[""Varanasi_T001"", ""Varanasi_T002"", ""Varanasi_T003"", ""Varanasi_T004"", ""Varanasi_T005"", ""Varanasi_T006"", ""Varanasi_T007"", ""Varanasi_T008"", ""Varanasi_T009"", ""Varanasi_T010""]"
REP_0004,TER_0004,bharatpur_west_004,Rajasthan,Bharatpur,"[""Bharatpur_T001"", ""Bharatpur_T002"", ""Bharatpur_T003"", ""Bharatpur_T004"", ""Bharatpur_T005"", ""Bharatpur_T006"", ""Bharatpur_T007"", ""Bharatpur_T008""]"
REP_0005,TER_0005,jalgaon_central_005,Maharashtra,Jalgaon,"[""Jalgaon_T001"", ""Jalgaon_T002"", ""Jalgaon_T003"", ""Jalgaon_T004"", ""Jalgaon_T005"", ""Jalgaon_T006"", ""Jalgaon_T007"", ""Jalgaon_T008"", ""Jalgaon_T009""]"
REP_0006,TER_0006,lucknow_north_006,Uttar Pradesh,Lucknow,"[""Lucknow_T001"", ""Lucknow_T002"", ""Lucknow_T003"", ""Lucknow_T004"", ""Lucknow_T005"", ""Lucknow_T006"", ""Lucknow_T007"", ""Lucknow_T008"", ""Lucknow_T009"", ""Lucknow_T010"", ""Lucknow_T011""]"
REP_0007,TER_0007,ratlam_south_007,Madhya Pradesh,Ratlam,"[""Ratlam_T001"", ""Ratlam_T002"", ""Ratlam_T003"", ""Ratlam_T004"", ""Ratlam_T005"", ""Ratlam_T006"", ""Ratlam_T007""]"
REP_0008,TER_0008,bikaner_east_008,Rajasthan,Bikaner,"[""Bikaner_T001"", ""Bikaner_T002"", ""Bikaner_T003"", ""Bikaner_T004"", ""Bikaner_T005"", ""Bikaner_T006"", ""Bikaner_T007""]"
REP_0009,TER_0009,kanpur_nagar_west_009,Uttar Pradesh,Kanpur Nagar,"[""Kanpur_Nagar_T001"", ""Kanpur_Nagar_T002"", ""Kanpur_Nagar_T003"", ""Kanpur_Nagar_T004"", ""Kanpur_Nagar_T005"", ""Kanpur_Nagar_T006"", ""Kanpur_Nagar_T007"", ""Kanpur_Nagar_T008"", ""Kanpur_Nagar_T009"", ""Kanpur_Nagar_T010"", ""Kanpur_Nagar_T011"", ""Kanpur_Nagar_T012""]"
REP_0010,TER_0010,sikar_central_010,Rajasthan,Sikar,"[""Sikar_T001"", ""Sikar_T002"", ""Sikar_T003"", ""Sikar_T004"", ""Sikar_T005"", ""Sikar_T006"", ""Sikar_T007""]"
