rep_id,visit_date,territory_id,visit_tehsil,visit_type,product_recommended
REP_0203,2026-03-09,TER_0203,Jalgaon_T062,retailer meeting,Vertimec 1.8 EC
REP_0203,2026-03-12,TER_0203,Jalgaon_T064,retailer meeting,Tilt 250 EC
REP_0203,2026-03-12,TER_0203,Jalgaon_T063,campaign_conducted,Cruiser 350 FS
REP_0203,2026-03-12,TER_0203,Jalgaon_T064,retailer meeting,Cruiser 350 FS
REP_0203,2026-03-12,TER_0203,Jalgaon_T063,campaign_conducted,Tilt 250 EC
REP_0203,2026-03-09,TER_0203,Jalgaon_T064,retailer meeting,Topik 15 WP
REP_0260,2026-02-07,TER_0260,Vijayapura_T063,retailer meeting,Vertimec 1.8 EC
REP_0260,2026-02-04,TER_0260,Vijayapura_T072,campaign_conducted,Score 250 EC
REP_0260,2026-02-08,TER_0260,Vijayapura_T063,grower meeting,Score 250 EC
REP_0141,2025-12-30,TER_0141,Kanpur_Nagar_T052,retailer meeting,Actara 25 WG
REP_0141,2025-12-29,TER_0141,Kanpur_Nagar_T058,campaign_conducted,Tilt 250 EC
REP_0141,2026-01-01,TER_0141,Kanpur_Nagar_T049,retailer meeting,Vibrance Integral
REP_0141,2025-12-31,TER_0141,Kanpur_Nagar_T049,retailer meeting,Vibrance Integral
REP_0499,2026-02-24,TER_0499,Bharatpur_T170,campaign_conducted,Kavach 75 WP
REP_0499,2026-02-24,TER_0499,Bharatpur_T177,retailer meeting,Tilt 250 EC
REP_0499,2026-03-01,TER_0499,Bharatpur_T173,campaign_conducted,Axial 50 EC
REP_0500,2026-02-27,TER_0500,Jalgaon_T154,campaign_conducted,Amistar 250 SC
REP_0500,2026-02-23,TER_0500,Jalgaon_T153,retailer meeting,Tilt 250 EC
REP_0500,2026-02-25,TER_0500,Jalgaon_T148,campaign_conducted,Cruiser 350 FS
REP_0500,2026-02-26,TER_0500,Jalgaon_T149,campaign_conducted,Movondo
REP_0025,2025-10-26,TER_0025,Patiala_T003,campaign_conducted,Score 250 EC
REP_0025,2025-10-21,TER_0025,Patiala_T004,retailer meeting,Vertimec 1.8 EC
REP_0087,2025-11-13,TER_0087,Ujjain_T033,campaign_conducted,Cruiser 350 FS
REP_0087,2025-11-14,TER_0087,Ujjain_T033,grower meeting,Kavach 75 WP
REP_0173,2026-01-16,TER_0173,Bikaner_T048,grower meeting,Vibrance Integral
REP_0173,2026-01-12,TER_0173,Bikaner_T049,campaign_conducted,Alto 5 SC
REP_0173,2026-01-13,TER_0173,Bikaner_T044,campaign_conducted,Axial 50 EC
REP_0173,2026-01-12,TER_0173,Bikaner_T045,grower meeting,Alto 5 SC
REP_0173,2026-01-15,TER_0173,Bikaner_T052,retailer meeting,Movondo
REP_0173,2026-01-13,TER_0173,Bikaner_T050,retailer meeting,Vertimec 1.8 EC
REP_0173,2026-01-14,TER_0173,Bikaner_T044,retailer meeting,Actara 25 WG
REP_0261,2026-01-29,TER_0261,Meerut_T082,campaign_conducted,Tilt 250 EC
REP_0261,2026-01-26,TER_0261,Meerut_T076,campaign_conducted,Actara 25 WG
REP_0261,2026-01-31,TER_0261,Meerut_T077,grower meeting,Amistar 250 SC
REP_0261,2026-01-31,TER_0261,Meerut_T080,campaign_conducted,Axial 50 EC
REP_0261,2026-02-01,TER_0261,Meerut_T076,campaign_conducted,Axial 50 EC
REP_0261,2026-02-01,TER_0261,Meerut_T076,grower meeting,Amistar 250 SC
REP_0261,2026-01-30,TER_0261,Meerut_T077,campaign_conducted,Kavach 75 WP
REP_0261,2026-01-30,TER_0261,Meerut_T077,grower meeting,Kavach 75 WP
REP_0261,2026-01-31,TER_0261,Meerut_T078,retailer meeting,Tilt 250 EC
REP_0261,2026-02-01,TER_0261,Meerut_T079,grower meeting,Kavach 75 WP
REP_0261,2026-01-28,TER_0261,Meerut_T082,campaign_conducted,Cruiser 350 FS
REP_0261,2026-01-30,TER_0261,Meerut_T081,grower meeting,Kavach 75 WP
REP_0389,2025-11-13,TER_0389,Nadia_T103,campaign_conducted,Actara 25 WG
REP_0147,2025-12-14,TER_0147,Akola_T055,campaign_conducted,Cruiser 350 FS
REP_0147,2025-12-11,TER_0147,Akola_T051,grower meeting,Movondo
REP_0147,2025-12-13,TER_0147,Akola_T055,grower meeting,Vibrance Integral
REP_0147,2025-12-09,TER_0147,Akola_T050,campaign_conducted,Alto 5 SC
REP_0334,2026-02-09,TER_0334,Bharatpur_T115,retailer meeting,Alto 5 SC
REP_0334,2026-02-12,TER_0334,Bharatpur_T120,grower meeting,Axial 50 EC
REP_0334,2026-02-14,TER_0334,Bharatpur_T115,campaign_conducted,Score 250 EC
