retailer_id,territory_id,state,district,tehsil
RTL_00001,TER_0001,Bihar,Patna,Patna_T012
RTL_00002,TER_0001,Bihar,Patna,Patna_T004
RTL_00003,TER_0001,Bihar,Patna,Patna_T002
RTL_00004,TER_0001,Bihar,Patna,Patna_T007
RTL_00005,TER_0001,Bihar,Patna,Patna_T007
RTL_00006,TER_0001,Bihar,Patna,Patna_T006
RTL_00007,TER_0001,Bihar,Patna,Patna_T009
RTL_00008,TER_0001,Bihar,Patna,Patna_T008
RTL_00009,TER_0001,Bihar,Patna,Patna_T007
RTL_00010,TER_0002,Haryana,Hisar,Hisar_T001
RTL_00011,TER_0002,Haryana,Hisar,Hisar_T004
RTL_00012,TER_0002,Haryana,Hisar,Hisar_T007
RTL_00013,TER_0002,Haryana,Hisar,Hisar_T007
RTL_00014,TER_0002,Haryana,Hisar,Hisar_T010
RTL_00015,TER_0002,Haryana,Hisar,Hisar_T001
RTL_00016,TER_0002,Haryana,Hisar,Hisar_T010
RTL_00017,TER_0002,Haryana,Hisar,Hisar_T007
RTL_00018,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T008
RTL_00019,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T001
RTL_00020,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T006
RTL_00021,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T005
RTL_00022,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007
RTL_00023,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007
RTL_00024,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T009
RTL_00025,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004
RTL_00026,TER_0004,Rajasthan,Bharatpur,Bharatpur_T008
RTL_00027,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004
RTL_00028,TER_0004,Rajasthan,Bharatpur,Bharatpur_T005
RTL_00029,TER_0004,Rajasthan,Bharatpur,Bharatpur_T007
RTL_00030,TER_0005,Maharashtra,Jalgaon,Jalgaon_T008
RTL_00031,TER_0005,Maharashtra,Jalgaon,Jalgaon_T001
RTL_00032,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007
RTL_00033,TER_0005,Maharashtra,Jalgaon,Jalgaon_T006
RTL_00034,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007
RTL_00035,TER_0005,Maharashtra,Jalgaon,Jalgaon_T003
RTL_00036,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T008
RTL_00037,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T003
RTL_00038,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010
RTL_00039,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T009
RTL_00040,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T001
RTL_00041,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T007
RTL_00042,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010
RTL_00043,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010
RTL_00044,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T006
RTL_00045,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T001
RTL_00046,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T001
RTL_00047,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T006
RTL_00048,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T004
RTL_00049,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T002
RTL_00050,TER_0008,Rajasthan,Bikaner,Bikaner_T007
RTL_00051,TER_0008,Rajasthan,Bikaner,Bikaner_T004
RTL_00052,TER_0008,Rajasthan,Bikaner,Bikaner_T002
RTL_00053,TER_0008,Rajasthan,Bikaner,Bikaner_T001
RTL_00054,TER_0008,Rajasthan,Bikaner,Bikaner_T003
RTL_00055,TER_0008,Rajasthan,Bikaner,Bikaner_T004
RTL_00056,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006
RTL_00057,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T004
RTL_00058,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T008
RTL_00059,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006
RTL_00060,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006
RTL_00061,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T007
RTL_00062,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T005
RTL_00063,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T007
RTL_00064,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T005
RTL_00065,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T002
RTL_00066,TER_0010,Rajasthan,Sikar,Sikar_T004
RTL_00067,TER_0010,Rajasthan,Sikar,Sikar_T001
RTL_00068,TER_0010,Rajasthan,Sikar,Sikar_T006
RTL_00069,TER_0010,Rajasthan,Sikar,Sikar_T005
RTL_00070,TER_0010,Rajasthan,Sikar,Sikar_T001
RTL_00071,TER_0010,Rajasthan,Sikar,Sikar_T003
RTL_00072,TER_0011,Madhya Pradesh,Sehore,Sehore_T004
RTL_00073,TER_0011,Madhya Pradesh,Sehore,Sehore_T011
RTL_00074,TER_0011,Madhya Pradesh,Sehore,Sehore_T002
RTL_00075,TER_0011,Madhya Pradesh,Sehore,Sehore_T011
RTL_00076,TER_0011,Madhya Pradesh,Sehore,Sehore_T001
RTL_00077,TER_0011,Madhya Pradesh,Sehore,Sehore_T001
RTL_00078,TER_0011,Madhya Pradesh,Sehore,Sehore_T004
RTL_00079,TER_0011,Madhya Pradesh,Sehore,Sehore_T004
RTL_00080,TER_0011,Madhya Pradesh,Sehore,Sehore_T001
RTL_00081,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T010
RTL_00082,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T003
RTL_00083,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T004
RTL_00084,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T003
RTL_00085,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T008
RTL_00086,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T011
RTL_00087,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T002
RTL_00088,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T010
RTL_00089,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T004
RTL_00090,TER_0013,Uttar Pradesh,Agra,Agra_T008
RTL_00091,TER_0013,Uttar Pradesh,Agra,Agra_T005
RTL_00092,TER_0013,Uttar Pradesh,Agra,Agra_T006
RTL_00093,TER_0013,Uttar Pradesh,Agra,Agra_T003
RTL_00094,TER_0013,Uttar Pradesh,Agra,Agra_T010
RTL_00095,TER_0013,Uttar Pradesh,Agra,Agra_T010
RTL_00096,TER_0013,Uttar Pradesh,Agra,Agra_T002
RTL_00097,TER_0013,Uttar Pradesh,Agra,Agra_T003
RTL_00098,TER_0014,West Bengal,Bardhaman,Bardhaman_T003
RTL_00099,TER_0014,West Bengal,Bardhaman,Bardhaman_T001
RTL_00100,TER_0014,West Bengal,Bardhaman,Bardhaman_T005
RTL_00101,TER_0014,West Bengal,Bardhaman,Bardhaman_T001
RTL_00102,TER_0014,West Bengal,Bardhaman,Bardhaman_T003
RTL_00103,TER_0015,Maharashtra,Akola,Akola_T010
RTL_00104,TER_0015,Maharashtra,Akola,Akola_T011
RTL_00105,TER_0015,Maharashtra,Akola,Akola_T007
RTL_00106,TER_0015,Maharashtra,Akola,Akola_T007
RTL_00107,TER_0015,Maharashtra,Akola,Akola_T012
RTL_00108,TER_0015,Maharashtra,Akola,Akola_T004
RTL_00109,TER_0015,Maharashtra,Akola,Akola_T002
RTL_00110,TER_0015,Maharashtra,Akola,Akola_T010
RTL_00111,TER_0015,Maharashtra,Akola,Akola_T012
RTL_00112,TER_0015,Maharashtra,Akola,Akola_T011
RTL_00113,TER_0016,Haryana,Sirsa,Sirsa_T004
RTL_00114,TER_0016,Haryana,Sirsa,Sirsa_T002
RTL_00115,TER_0016,Haryana,Sirsa,Sirsa_T012
RTL_00116,TER_0016,Haryana,Sirsa,Sirsa_T013
RTL_00117,TER_0016,Haryana,Sirsa,Sirsa_T005
RTL_00118,TER_0016,Haryana,Sirsa,Sirsa_T014
RTL_00119,TER_0016,Haryana,Sirsa,Sirsa_T011
RTL_00120,TER_0016,Haryana,Sirsa,Sirsa_T010
RTL_00121,TER_0016,Haryana,Sirsa,Sirsa_T013
RTL_00122,TER_0016,Haryana,Sirsa,Sirsa_T002
RTL_00123,TER_0016,Haryana,Sirsa,Sirsa_T013
RTL_00124,TER_0017,Maharashtra,Amravati,Amravati_T005
RTL_00125,TER_0017,Maharashtra,Amravati,Amravati_T007
RTL_00126,TER_0017,Maharashtra,Amravati,Amravati_T001
RTL_00127,TER_0017,Maharashtra,Amravati,Amravati_T003
RTL_00128,TER_0017,Maharashtra,Amravati,Amravati_T005
RTL_00129,TER_0017,Maharashtra,Amravati,Amravati_T004
RTL_00130,TER_0018,Punjab,Ludhiana,Ludhiana_T011
RTL_00131,TER_0018,Punjab,Ludhiana,Ludhiana_T006
RTL_00132,TER_0018,Punjab,Ludhiana,Ludhiana_T002
RTL_00133,TER_0018,Punjab,Ludhiana,Ludhiana_T009
RTL_00134,TER_0018,Punjab,Ludhiana,Ludhiana_T011
RTL_00135,TER_0018,Punjab,Ludhiana,Ludhiana_T006
RTL_00136,TER_0018,Punjab,Ludhiana,Ludhiana_T001
RTL_00137,TER_0018,Punjab,Ludhiana,Ludhiana_T007
RTL_00138,TER_0018,Punjab,Ludhiana,Ludhiana_T008
RTL_00139,TER_0018,Punjab,Ludhiana,Ludhiana_T002
RTL_00140,TER_0019,Karnataka,Kalaburagi,Kalaburagi_T004
RTL_00141,TER_0019,Karnataka,Kalaburagi,Kalaburagi_T003
