id,campaign_product,campaign_crop,grower_id,message_sent_date,delivered_status,opened_status,clicked_status
WAM_RABI25_00001,Tilt 250 EC,wheat,GRW_00001,2026-03-20,true,false,false
WAM_RABI25_00002,Tilt 250 EC,wheat,GRW_00002,2026-03-31,true,false,false
WAM_RABI25_00003,Tilt 250 EC,wheat,GRW_00003,2026-03-03,true,false,false
WAM_RABI25_00004,Tilt 250 EC,wheat,GRW_00004,2025-10-28,true,false,false
WAM_RABI25_00005,Tilt 250 EC,wheat,GRW_00005,2025-12-08,true,false,false
WAM_RABI25_00006,Tilt 250 EC,wheat,GRW_00008,2025-10-28,true,false,false
WAM_RABI25_00007,Tilt 250 EC,wheat,GRW_00009,2025-10-06,true,false,false
WAM_RABI25_00008,Score 250 EC,mustard,GRW_00010,2026-01-28,true,true,false
WAM_RABI25_00009,Amistar 250 SC,chickpea,GRW_00011,2026-02-09,true,true,false
WAM_RABI25_00010,Tilt 250 EC,wheat,GRW_00013,2026-02-16,true,false,false
WAM_RABI25_00011,Amistar 250 SC,chickpea,GRW_00016,2025-10-31,true,false,false
WAM_RABI25_00012,Amistar 250 SC,chickpea,GRW_00017,2026-01-31,true,false,false
WAM_RABI25_00013,Amistar 250 SC,lentil,GRW_00018,2025-11-13,true,false,false
WAM_RABI25_00014,Tilt 250 EC,wheat,GRW_00019,2025-12-24,true,true,false
WAM_RABI25_00015,Score 250 EC,mustard,GRW_00020,2026-01-26,true,false,false
WAM_RABI25_00016,Tilt 250 EC,wheat,GRW_00021,2026-01-02,true,false,false
WAM_RABI25_00017,Tilt 250 EC,wheat,GRW_00023,2026-02-17,true,false,false
WAM_RABI25_00018,Tilt 250 EC,wheat,GRW_00024,2025-10-24,true,true,false
WAM_RABI25_00019,Amistar 250 SC,chickpea,GRW_00026,2025-11-13,true,false,false
WAM_RABI25_00020,Tilt 250 EC,wheat,GRW_00027,2025-10-22,true,false,false
WAM_RABI25_00021,Amistar 250 SC,barley,GRW_00029,2025-11-24,true,true,false
WAM_RABI25_00022,Amistar 250 SC,chickpea,GRW_00031,2026-02-12,true,false,false
WAM_RABI25_00023,Score 250 EC,mustard,GRW_00033,2025-12-07,true,true,false
WAM_RABI25_00024,Tilt 250 EC,wheat,GRW_00034,2025-10-16,true,true,false
WAM_RABI25_00025,Tilt 250 EC,wheat,GRW_00035,2025-11-26,true,false,false
WAM_RABI25_00026,Amistar 250 SC,lentil,GRW_00036,2025-11-19,true,false,false
WAM_RABI25_00027,Tilt 250 EC,wheat,GRW_00037,2025-11-18,true,false,false
